task,candidate,classifier,C,class_weight,feature_dimensions,train_rows,validation_rows,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,fit_seconds,iterations,screen,converged
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,0.1,balanced,1152,9958,3327,0.9269612263300272,0.9267467224230428,0.927031745254456,0.92621929557759,0.2627326817761465,0.1204742874947462,0.0429902826202291,1.9248864999972284,177,capacity_base,True
label_3,fusion__dinov2_small__full_frame__dinov2_small__person_context_10,standardized_multinomial_logistic,0.01,none,768,9958,3327,0.9269612263300272,0.926313622007128,0.9267828738832236,0.9268341748281528,0.1853781777437711,0.1071406739781452,0.011817124939484,0.9612160000251606,86,required_small,True
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,0.1,none,1152,9958,3327,0.9260595130748422,0.9258137789470496,0.9260559685269232,0.9246871160046232,0.2635647294953367,0.120850859941554,0.0453868785567368,1.9893062000046484,179,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,none,768,9958,3327,0.9266606552449654,0.9256430592678512,0.9263428680815604,0.924576880183304,0.1870460937811411,0.1060415966230547,0.0146020725927916,1.5588634999585338,89,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_small__person_context_10,standardized_multinomial_logistic,0.01,balanced,1152,9958,3327,0.9257589419897806,0.9251489558316094,0.925588732976276,0.9249259281789244,0.185980886582127,0.1060642959000474,0.0149033098079415,2.045227100024931,111,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,1.0,none,1536,9958,3327,0.9257589419897806,0.9251354100473976,0.9256535630215096,0.9247380822028916,0.4284619432630609,0.1296292920250813,0.0568380405247599,3.3579432999831624,153,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,1.0,balanced,1536,9958,3327,0.9254583709047188,0.9249703195355372,0.925430674185918,0.9249910375732506,0.4267476527049699,0.129131147145928,0.0580228328585924,4.481722099997569,203,capacity_base,True
label_3,fusion__dinov2_small__full_frame__dinov2_small__person_context_10,standardized_multinomial_logistic,0.01,balanced,768,9958,3327,0.9251577998196574,0.9248932970655046,0.9251987908599288,0.9268577468215828,0.1887587989209981,0.1095233995373151,0.0079808649192312,1.0700542999547906,90,required_small,True
label_3,fusion__dinov2_small__full_frame__dinov2_small__person_context_25,standardized_multinomial_logistic,0.01,balanced,768,9958,3327,0.924556657649534,0.9243111795917563,0.924735405686074,0.9263475677758176,0.1872208122931986,0.109552778379305,0.0065431001072992,1.1530453999876045,90,required_small,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,balanced,768,9958,3327,0.924556657649534,0.9239549284216269,0.9244570086965168,0.9242443680678064,0.1872013277581197,0.1065894778832722,0.0106216255054703,1.7454338999814354,86,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.1,balanced,768,9958,3327,0.9233543733092876,0.9229097980620948,0.9235443270493984,0.9241205061135104,0.2347178863348581,0.1192077169675067,0.0382741308801295,1.5010390999959782,131,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.1,none,768,9958,3327,0.9236549443943493,0.9228481267854204,0.9237143268135892,0.9228941946995964,0.2308111581500495,0.1179610428029537,0.037111647685831,1.7293322999612428,146,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.0001,balanced,3840,9958,3327,0.9227532311391644,0.9225269829053808,0.922988414762726,0.9242451892856418,0.2178270143168645,0.1153234093169296,0.0574612961546302,1.6968061999650672,60,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,10.0,balanced,1536,9958,3327,0.9221520889690412,0.9217682638913164,0.9221393053959296,0.9214325891680356,0.6774108695781866,0.1416459612402683,0.0678448773135277,2.957235599984415,136,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,10.0,none,1536,9958,3327,0.9218515178839796,0.921272983010416,0.92179286404977,0.9208004237889572,0.6919142592979872,0.1428144795091716,0.0683580273452443,2.644178999995347,122,capacity_base,True
label_3,fusion__dinov2_base__person_context_25__dinov2_small__person_context_25,standardized_multinomial_logistic,0.1,balanced,1152,9958,3327,0.9203486624586716,0.9205033106058736,0.9203025393609592,0.9207561185798,0.283608271175432,0.1292991334052817,0.0470754767630433,2.2211630000383598,193,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,100.0,none,1536,9958,3327,0.9209498046287948,0.9204711001873666,0.9208807583221772,0.92026435103514,1.1350918530316554,0.1520989257518472,0.0746190866046046,1.9150019999942745,75,capacity_base,True
label_3,fusion__dinov2_base__person_context_25__dinov2_small__person_context_25,standardized_multinomial_logistic,0.1,none,1152,9958,3327,0.9206492335437332,0.9203877057911308,0.9204432831472272,0.919729028529716,0.2865914312566964,0.1292328407997505,0.0464532542348614,2.457160499994643,206,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,100.0,balanced,1536,9958,3327,0.9197475202885482,0.9191866306757248,0.9196759602275154,0.9188968915384148,1.1129229863576695,0.1530242705238706,0.0746764881893811,1.8366685000364669,79,capacity_base,True
label_3,dinov2_base__person_context_25,standardized_multinomial_logistic,0.1,none,768,9958,3327,0.919146378118425,0.9186008048200124,0.918982076448718,0.9172227426648012,0.2401316759228328,0.1242653888191847,0.0421337336455168,2.43773579999106,163,capacity_base,True
label_3,fusion__convnext_small__full_frame__dinov2_base__full_frame,standardized_multinomial_logistic,0.1,none,1536,9958,3327,0.9188458070333634,0.918227293930892,0.9188448562965694,0.917068647727964,0.291933937569605,0.1307790816499903,0.050015407688293,3.931149700016249,194,capacity_base,True
label_3,fusion__convnext_small__full_frame__dinov2_base__full_frame,standardized_multinomial_logistic,0.1,balanced,1536,9958,3327,0.9185452359483016,0.9181950850998848,0.918679409539843,0.917620435144068,0.2905178185111194,0.130616343224346,0.049656996196224,4.373047899978701,191,capacity_base,True
label_3,dinov2_base__person_context_25,standardized_multinomial_logistic,0.1,balanced,768,9958,3327,0.9176435226931168,0.9174652466807544,0.917696962337232,0.9173804266277348,0.2410671779862158,0.1255434438729143,0.0412010288305046,2.190218499978073,155,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_base__person_context_25,standardized_multinomial_logistic,0.1,none,1536,9958,3327,0.9170423805229936,0.9164880268405078,0.9169316171324302,0.915330585802056,0.2876126461207421,0.1323542356235726,0.0521959879036888,5.031540700001642,241,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_base__person_context_25,standardized_multinomial_logistic,0.1,balanced,1536,9958,3327,0.9164412383528704,0.9162305088609524,0.9165255351457772,0.9160357179066042,0.2857557800828937,0.1317981397510987,0.0529885403463124,4.191358099982608,227,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,none,768,9958,3327,0.9173429516080552,0.9161773943926682,0.916983250077934,0.9149893951375792,0.2520870996319067,0.1273077038011273,0.0378688380321859,3.086687000002712,180,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,balanced,768,9958,3327,0.9161406672678089,0.915379642301002,0.9160181363506502,0.9151274712573758,0.2524551588991428,0.1283194819358809,0.0398131096283502,3.1588099999935366,166,capacity_base,True
label_3,fusion__convnext_small__person_context_10__dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,balanced,1536,9958,3327,0.916741809437932,0.9152198402869388,0.9162678503139788,0.9145191820264816,0.3357739874573373,0.1391151026753997,0.0509792642570943,3.471462399989832,220,capacity_base,True
label_3,fusion__convnext_small__person_context_10__dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,none,1536,9958,3327,0.916741809437932,0.9151068249783166,0.9161430798690422,0.913821907253077,0.3388784570908985,0.1402344131056372,0.051113879046466,3.851476099982392,229,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_small__person_context_10,standardized_multinomial_logistic,0.1,balanced,1152,9958,3327,0.915238954012624,0.914390089855566,0.9149133985276108,0.9136152746517427,0.3025594031162799,0.1328412313822273,0.0473792704693026,3.430673199996818,210,capacity_base,True
