task,candidate,classifier,C,class_weight,feature_dimensions,train_rows,validation_rows,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,fit_seconds,iterations,screen,converged
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.1,none,3840,9958,3327,0.9407874962428614,0.9401758006953208,0.9407668539140404,0.9397052233509744,0.1970633832039913,0.0942899459884391,0.0323060294269987,6.927141299995128,292,official_multilayer,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.1,balanced,3840,9958,3327,0.9389840697324916,0.938339000525252,0.9390125888008326,0.9381463998215626,0.1966722015186879,0.0946542389772752,0.0329705186530581,7.098019300028682,293,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,balanced,1536,9958,3327,0.9380823564773068,0.9379213070732954,0.9380850683776366,0.9382279741265688,0.2428947171537198,0.1021620802614389,0.0367830739202054,4.188719299971126,201,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,none,1536,9958,3327,0.9374812143071836,0.9371294710678374,0.937413484099688,0.9368640326864976,0.2432446341929025,0.1023809867226153,0.0375105469220221,4.219229099981021,202,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,0.01,none,1152,9958,3327,0.9374812143071836,0.9370228325696324,0.937493395800956,0.9364456069915038,0.163160615239853,0.0929168606714095,0.0122779596031465,1.6697072999668308,96,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.001,balanced,3840,9958,3327,0.937180643222122,0.936897445174985,0.937163800936636,0.9376122736581706,0.1609825400393042,0.0919267423608314,0.0147164740783893,2.793526399997063,110,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_small__full_frame,standardized_multinomial_logistic,0.01,balanced,1152,9958,3327,0.935677787796814,0.9355136754970954,0.93586945072946,0.9362699576211044,0.1638380353583828,0.0936180781122067,0.0092684620845471,1.0266928999917582,94,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.001,none,3840,9958,3327,0.935677787796814,0.9349521248629532,0.9353613230667076,0.9340843623902508,0.1609701169313611,0.0914164817685344,0.0142305507738374,4.1113579999655485,170,official_multilayer,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,balanced,3840,9958,3327,0.9344755034565676,0.9340868255978196,0.9343375546852226,0.934276547640773,0.1760660122718048,0.0989748631102333,0.019406887931702,5.3020494999946095,230,official_multilayer,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.01,balanced,768,9958,3327,0.9341749323715058,0.933893679745864,0.9344214214230736,0.9347597785753392,0.1734221663187254,0.0991144226866489,0.0087990675294401,0.9692418000195177,71,capacity_base,True
label_3,fusion__dinov2_base__person_context_25__dinov2_small__person_context_25,standardized_multinomial_logistic,0.01,none,1152,9958,3327,0.9341749323715058,0.9337373142446788,0.9339748869337356,0.9330922197213942,0.170435112242806,0.0993608019151674,0.0172070545648634,1.4200866999453865,133,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.01,none,768,9958,3327,0.9341749323715058,0.9337289271143356,0.9342743460440094,0.9332314921832228,0.1717325437485029,0.0984164076406988,0.0076397693482673,1.2258374000084586,71,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,none,3840,9958,3327,0.9338743612864444,0.9331615905341338,0.9335580563230544,0.9321270961331792,0.1769623404420287,0.0986987783750162,0.0230685453368281,5.466744200035464,234,official_multilayer,True
