family,condition,level,fault_seed,realized_bit_flips,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,prediction_agreement_with_clean,mean_absolute_probability_drift,max_absolute_probability_drift,mean_absolute_locked_probability_error,quantization_scale_mean
convnext_small_full,symmetric_int8_head_weight_bit_flips,16.0,aggregate,48,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3929820496980415,0.163287733744507,0.05893109377902217,1.0,0.000853292441596713,0.028054244567414455,,0.0010114772895502605
dinov2_base_top4,clean_float,0.0,none,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21412135332965887,0.08539182031032067,0.040896938379470574,1.0,0.0,0.0,3.198181389365038e-05,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0,20260822,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21412135332965887,0.08539182031032067,0.040896938379470574,1.0,0.0,0.0,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0,20260823,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21412135332965887,0.08539182031032067,0.040896938379470574,1.0,0.0,0.0,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0,20260824,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21412135332965887,0.08539182031032067,0.040896938379470574,1.0,0.0,0.0,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0,aggregate,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21412135332965887,0.08539182031032067,0.040896938379470574,1.0,7.914742821181659e-18,2.220446049250313e-16,,
dinov2_base_top4,uint8_input_bit_flip_rate,1e-05,20260822,3083,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21225795643564402,0.08471360274888302,0.0326524820147299,1.0,0.0019332900116621453,0.134347971894564,,
dinov2_base_top4,uint8_input_bit_flip_rate,1e-05,20260823,3083,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21439126444792223,0.08735323255761021,0.03940794470112047,1.0,0.0019061328151913312,0.10435795682597371,,
dinov2_base_top4,uint8_input_bit_flip_rate,1e-05,20260824,3083,0.94921875,0.9491948557878436,0.9491948557878436,0.94921875,0.22728706131418236,0.09041646250725453,0.03867266156589119,0.99609375,0.0025664532824817778,0.179039800499034,,
dinov2_base_top4,uint8_input_bit_flip_rate,1e-05,aggregate,3083,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21644145495907585,0.08730853184449763,0.03991580113292309,1.0,0.0018186557296391388,0.11968067891254819,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0001,20260822,30828,0.9453125,0.9452467291561433,0.9452467291561433,0.9453125,0.22876680700255833,0.09345358063376585,0.04310012045211086,0.9921875,0.0048342359515911116,0.3021768778010876,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0001,20260823,30828,0.94921875,0.9491948557878436,0.9491948557878436,0.94921875,0.2221816970249043,0.08930591823463824,0.03536139221089209,0.99609375,0.0045509604496741796,0.2370252439069107,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.0001,20260824,30828,0.94921875,0.9491948557878436,0.9491948557878436,0.94921875,0.21259886332405142,0.08889481338796043,0.04209751795084393,0.99609375,0.004210561391255406,0.22437546578989254,,
