family,image_id,curve,fraction,target_probability
convnext_small_full,p1_00862,random_deletion,0.0,0.9995627800623575
convnext_small_full,p1_00862,random_deletion,0.1,0.9994158347447714
convnext_small_full,p1_00862,random_deletion,0.2,0.991091271241506
convnext_small_full,p1_00862,random_deletion,0.4,0.9836258888244629
convnext_small_full,p1_00862,random_deletion,0.6,0.9911471009254456
convnext_small_full,p1_00862,random_deletion,0.8,0.9859514832496643
convnext_small_full,p1_00862,random_deletion,1.0,0.962304949760437
convnext_small_full,p1_01079,deletion,0.0,0.9970343311627706
convnext_small_full,p1_01079,deletion,0.1,0.8835521141688029
convnext_small_full,p1_01079,deletion,0.2,0.600068618853887
convnext_small_full,p1_01079,deletion,0.4,0.679389238357544
convnext_small_full,p1_01079,deletion,0.6,0.6841028928756714
convnext_small_full,p1_01079,deletion,0.8,0.8434610366821289
convnext_small_full,p1_01079,deletion,1.0,0.9197013974189758
convnext_small_full,p1_01079,insertion,0.0,0.9197013974189758
convnext_small_full,p1_01079,insertion,0.1,0.9097633759180704
convnext_small_full,p1_01079,insertion,0.2,0.9989306728045145
convnext_small_full,p1_01079,insertion,0.4,0.9995836615562439
convnext_small_full,p1_01079,insertion,0.6,0.9989618261655172
convnext_small_full,p1_01079,insertion,0.8,0.9974851210912069
convnext_small_full,p1_01079,insertion,1.0,0.9970343311627706
convnext_small_full,p1_01079,random_deletion,0.0,0.9970343311627706
convnext_small_full,p1_01079,random_deletion,0.1,0.9698502024014791
convnext_small_full,p1_01079,random_deletion,0.2,0.9741008083025614
convnext_small_full,p1_01079,random_deletion,0.4,0.7795686721801758
convnext_small_full,p1_01079,random_deletion,0.6,0.7123259703318278
convnext_small_full,p1_01079,random_deletion,0.8,0.5911222497622172
convnext_small_full,p1_01079,random_deletion,1.0,0.9197013974189758
convnext_small_full,p1_01317,deletion,0.0,0.9716493487358093
convnext_small_full,p1_01317,deletion,0.1,0.8630396127700806
convnext_small_full,p1_01317,deletion,0.2,0.7120603819688162
convnext_small_full,p1_01317,deletion,0.4,0.7246242562929789
convnext_small_full,p1_01317,deletion,0.6,0.4085364838441213
convnext_small_full,p1_01317,deletion,0.8,0.7875360449155172
convnext_small_full,p1_01317,deletion,1.0,0.8009408315022787
convnext_small_full,p1_01317,insertion,0.0,0.8009408315022787
convnext_small_full,p1_01317,insertion,0.1,0.7544126311937968
convnext_small_full,p1_01317,insertion,0.2,0.9621788462003072
convnext_small_full,p1_01317,insertion,0.4,0.9914485414822897
convnext_small_full,p1_01317,insertion,0.6,0.9940098921457926
convnext_small_full,p1_01317,insertion,0.8,0.9887152115503947
convnext_small_full,p1_01317,insertion,1.0,0.9716493487358093
convnext_small_full,p1_01317,random_deletion,0.0,0.9716493487358093
convnext_small_full,p1_01317,random_deletion,0.1,0.9644872943560282
convnext_small_full,p1_01317,random_deletion,0.2,0.9883414705594381
convnext_small_full,p1_01317,random_deletion,0.4,0.995717446009318
convnext_small_full,p1_01317,random_deletion,0.6,0.9786863327026367
convnext_small_full,p1_01317,random_deletion,0.8,0.9235070745150248
convnext_small_full,p1_01317,random_deletion,1.0,0.8009408315022787
convnext_small_full,p1_01497,deletion,0.0,0.9728346864382426
convnext_small_full,p1_01497,deletion,0.1,0.8882441322008768
convnext_small_full,p1_01497,deletion,0.2,0.57164316624403
convnext_small_full,p1_01497,deletion,0.4,0.25155065208673477
convnext_small_full,p1_01497,deletion,0.6,0.22658731788396835
convnext_small_full,p1_01497,deletion,0.8,0.21543731292088827
convnext_small_full,p1_01497,deletion,1.0,0.3619004487991333
convnext_small_full,p1_01497,insertion,0.0,0.3619004487991333
convnext_small_full,p1_01497,insertion,0.1,0.24938597530126572
convnext_small_full,p1_01497,insertion,0.2,0.5469710429509481
convnext_small_full,p1_01497,insertion,0.4,0.7844309310118357
convnext_small_full,p1_01497,insertion,0.6,0.9641474684079488
convnext_small_full,p1_01497,insertion,0.8,0.9702507853507996
convnext_small_full,p1_01497,insertion,1.0,0.9728346864382426
convnext_small_full,p1_01497,random_deletion,0.0,0.9728346864382426
convnext_small_full,p1_01497,random_deletion,0.1,0.9849129716555277
convnext_small_full,p1_01497,random_deletion,0.2,0.986227552096049
convnext_small_full,p1_01497,random_deletion,0.4,0.8647334973017374
convnext_small_full,p1_01497,random_deletion,0.6,0.4700479408105214
convnext_small_full,p1_01497,random_deletion,0.8,0.438615749279658
convnext_small_full,p1_01497,random_deletion,1.0,0.3619004487991333
convnext_small_full,p1_01572,deletion,0.0,0.9818876584370931
convnext_small_full,p1_01572,deletion,0.1,0.6686015725135803
convnext_small_full,p1_01572,deletion,0.2,0.30531204119324684
convnext_small_full,p1_01572,deletion,0.4,0.11843220765391986
convnext_small_full,p1_01572,deletion,0.6,0.06383436266332865
convnext_small_full,p1_01572,deletion,0.8,0.19057938953240713
convnext_small_full,p1_01572,deletion,1.0,0.4265557328859965
convnext_small_full,p1_01572,insertion,0.0,0.4265557328859965
convnext_small_full,p1_01572,insertion,0.1,0.8504432439804077
convnext_small_full,p1_01572,insertion,0.2,0.9157177805900574
convnext_small_full,p1_01572,insertion,0.4,0.8930506904919943
convnext_small_full,p1_01572,insertion,0.6,0.885760227839152
convnext_small_full,p1_01572,insertion,0.8,0.8882590929667155
convnext_small_full,p1_01572,insertion,1.0,0.9818876584370931
convnext_small_full,p1_01572,random_deletion,0.0,0.9818876584370931
convnext_small_full,p1_01572,random_deletion,0.1,0.9512733221054077
convnext_small_full,p1_01572,random_deletion,0.2,0.6832731366157532
